Nome,ID
"PEPERAIO HARDWARE OFERTAS",-1001648542394
"MM PROMO - Hardware e PC Gamer",-1001611302810
"CMdias ( Envio de Promoção)",-1001435153850
"Jersu Indica - Ofertas",-1001319492842
"Economiza Guiga ! Melhores Ofertas Tech",-1001592709849
"Ofertas Gamer 🎮",-1001569488789
"PEPERAIO OFERTAS GERAIS",-1002129881785
"Fraguas84 Promoções",-1001871700299
"🎮MEGA OFERTAS GAMER--🏷🎮",-1001824945851
"Bench Promos - Cupons e Promoções",-1001686905299
"gatuna das promoções",-1001862855490
"Pelando Promoções",-1001079131412
"Pichau",-1001769286072
"[CANAL] PromoTop 💥",-1001007742949
"Shark das Promoções",-1002010294945
"Cupons Tt Tech&TudoTecnologia💸",-1001455644663
"🛒 WL PROMOÇÕES DE HARDWARE's 🛒",-1002064946182
"FAFA OFERTAS GERAIS",-1001795013184
"MM PROMO - Hardware e PC Gamer",-1001611302810
"Dandantech Descontos",-1002381659083
